2011_SLA,IRSD_decile,
505158764,7,
505158767,5,
505201820,7,
505203150,10,
505203431,8,
505203432,6,
505204830,4,
505205320,9,
505207490,6,
505250210,5,
505250490,5,
505251330,7,
505253780,6,
505257700,8,
505257840,9,
505258510,7,
510015110,4,
510016230,5,
510031190,4,
510031401,9,
510032661,7,
510033991,8,
510100630,7,
510101404,6,
510101890,3,
510102664,7,
510102870,5,
510103994,4,
510108820,3,
510150280,7,
510151260,6,
510200770,5,
510200840,4,
510205180,3,
510206300,4,
515051080,4,
515053640,5,
515054130,7,
515054340,2,
515054480,9,
515054550,5,
515059320,6,
515100081,3,
515100084,7,
515102240,3,
515102730,5,
515107210,3,
520050910,3,
520052310,6,
520053010,6,
520056450,9,
520056520,2,
520057140,2,
520058610,3,
520058680,8,
520058890,7,
520059100,4,
520059170,7,
520102100,5,
520104620,5,
520104760,6,
520104900,8,
525051680,8,
525052590,6,
525053570,5,
525055600,5,
525058540,6,
525100560,3,
525102450,6,
525102520,7,
525102940,5,
525103710,4,
525104690,4,
525106732,4,
525106735,2,
525107350,2,
525108190,5,
525108330,5,
525109310,5,
525109330,3,
525109370,5,
525151120,4,
525154410,2,
525155460,5,
525155880,8,
525155950,6,
525156370,6,
525156860,4,
525158400,2,
525159030,5,
525159360,5,
530014281,6,
530051960,3,
530054284,1,
530054970,1,
530055040,5,
530055390,1,
530056620,1,
530103080,1,
530103290,5,
530107420,7,
535033522,2,
535033524,7,
535051540,2,
535053360,7,
535057770,4,
535058470,1,
535102380,1,
535105250,1,
535105810,1,
535106160,1,
535107630,2,
535109250,1,
535109350,2,
535151470,6,
535151610,7,
535152030,3,
535153526,6,
535154060,5,
535155530,4,
535155670,4,
535156020,3,
535156790,3,
535157000,7,
535158260,3,
540053220,3,
540057280,7,
540100250,8,
540107560,9,
545053920,1,
545059340,1,
545100980,3,
545102800,1,
605050410,1,
605051410,6,
605051511,1,
605052610,2,
605052811,8,
605052812,8,
605053611,8,
605054811,4,
610051010,1,
610051512,2,
610052410,2,
610053010,3,
610053612,6,
610054812,2,
610055010,2,
610055210,2,
615052211,1,
615054011,6,
615054012,2,
615054211,6,
615054611,4,
615055811,6,
615102212,3,
615104013,5,
615104212,3,
615104612,2,
615105812,6,
615150210,1,
615151810,2,
615152010,3,
620050611,2,
620050811,3,
620051610,2,
620053811,4,
620055411,2,
620100612,5,
620100812,5,
620101210,3,
620103210,2,
