DRG,costweight_16,cost_16,costweight_17,cost_17,costweight_18,cost_18,costweight_19,cost_19,costweight_20,cost_20,ave_charge_16,ave_charge_17,ave_charge_18,ave_charge_19,ave_charge_20,private_16,paed_16,private_17,paed_17,private_18,paed_18,private_19,paed_19,private_20,paed_20
K62B,0.94,"4,893",0.78,"4,043",0.83,"4,057",0.87,"4,398",0.92,"4,925",4219.65,4176.39,3577.36,3691.71,4161.15,0.1,1.55,0.1,1.33,0.1,1.41,0.11,1.41,0.1,1.47
K62C,0.31,"1,626",0.28,"1,452",0.31,"1,496",0.30,"1,531",0.30,"1,613",882.94,825.02,829.77,814.65,1000.93,0.11,1.6,0.1,1.62,0.1,1.73,0.12,1.62,0.11,1.62
K63A,1.47,"7,628",1.96,"10,142",2.35,"11,499",2.39,"11,999",2.04,"10,865",2931.18,3005.04,5295.76,8061.04,2305.77,0.05,1.42,0.11,1.49,0.09,1.55,0.07,1.24,0.07,1.11
K63B,0.28,"1,464",0.29,"1,521",0.39,"1,912",0.36,"1,805",0.38,"2,042",1536.91,830.88,1166.49,1436.57,2290.09,0.05,2,0.04,1.1,0.04,1.77,0.09,1.38,0.08,1.6
K64A,1.49,"7,728",1.62,"8,395",1.91,"9,307",1.83,"9,211",1.88,"10,037",4505.82,4662.2,5905.93,5569.28,7114.03,0.11,1.55,0.1,1.74,0.11,1.59,0.1,1.62,0.1,1.74
K64B,0.40,"2,069",0.43,"2,210",0.52,"2,526",0.48,"2,437",0.49,"2,629",1941.58,1699.65,2141.57,1856.93,2760.53,0.09,1.43,0.12,1.91,0.16,1.79,0.12,1.81,0.14,2
K64C,,,,,,,,,,,,,,,,0.17,1.56,,,,,,,,
L02A,3.88,"20,188",4.39,"22,711",4.24,"20,727",4.82,"24,239",4.64,"24,733",10093.64,14137.63,11330.13,11907.4,9117.39,0.11,1,0.1,1,0.06,1,0.09,1,0.09,1.56
L02B,1.06,"5,490",1.18,"6,102",1.25,"6,113",1.18,"5,908",1.24,"6,632",3345.71,3886.51,4058.13,3936.66,3811.54,0.06,1,0.09,1,0.1,1,0.09,1,0.1,1
L03A,9.28,"48,240",8.77,"45,369",10.55,"51,558",10.30,"51,772",10.86,"57,915",24124.73,25094.25,26683.28,25087.07,28377.38,0.18,1,0.14,1,0.21,1,0.17,1,0.15,1
L03B,4.66,"24,236",4.48,"23,144",5.24,"25,598",5.17,"26,002",5.17,"27,585",15504.73,15573.35,16785.71,16394.89,16850.3,0.19,1,0.15,1,0.2,1,0.19,1,0.16,1
L03C,2.75,"14,321",2.76,"14,292",3.17,"15,486",3.28,"16,477",3.31,"17,668",10366.81,10436.63,10815.32,10787.77,11000.26,0.19,1,0.19,1,0.18,1,0.21,1,0.23,1
L04A,5.85,"30,397",5.37,"27,772",6.02,"29,404",6.11,"30,719",6.34,"33,813",16948.06,16967.86,15482.97,15884.22,17661.89,0.17,1.19,0.11,0.81,0.17,1,0.13,1,0.13,1
L04B,2.31,"11,985",2.17,"11,207",2.29,"11,178",2.22,"11,175",2.26,"12,060",8005.99,8188.64,8464.14,7817.72,7867.46,0.18,1.35,0.17,0.93,0.17,0.92,0.19,1,0.16,1
L04C,1.14,"5,948",1.14,"5,913",1.24,"6,042",1.19,"5,993",1.18,"6,319",3865.9,3827.52,3866.26,3819.77,3685.56,0.34,0.8,0.21,1.31,0.25,1.29,0.25,1.36,0.21,1.42
L05A,3.18,"16,521",2.94,"15,226",3.02,"14,749",3.25,"16,347",3.33,"17,779",9965.51,10236.04,11659.4,11838.6,10248.89,0.25,1,0.17,1,0.19,1,0.18,1,0.21,1
L05B,1.32,"6,868",1.31,"6,759",1.44,"7,019",1.45,"7,267",1.50,"8,024",4920.15,4976.93,5168.9,5230.69,5250.08,0.29,1,0.2,1,0.19,1,0.22,1,0.22,1
L06A,4.76,"24,760",4.84,"25,027",5.54,"27,062",6.56,"32,957",5.99,"31,961",10300.37,10745.22,13438.05,13085.37,14439.92,0.18,1,0.13,1,0.14,1,0.14,1,0.1,1
